,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Labels,Labels_list
8080,0ZYf6N5eBeXStMri0mf3DZ,Voices Carry,58,263573,0,"""Til Tuesday""",['1L0y9srZMyh9XUnYGv37IP'],1985-06-01 00:00:00,0.583,0.574,0,-9.044,1,0.0239,0.0282,2.14e-06,0.114,0.578,104.995,4,sadness,['sadness']
8081,5BYOLEoFD1fWokKncxz7BQ,You Look So Good In Love,58,193400,0,George Strait,['5vngPClqofybhPERIqQMYd'],1985-01-01 00:00:00,0.642,0.233,9,-16.568,1,0.0298,0.435,0.0,0.105,0.333,114.495,3,"nostalgia, tenderness","['nostalgia', 'tenderness']"
8082,2s6wCS3vDZFPY9NOTlPXJZ,Take Me Home - 2016 Remaster,58,353573,0,Phil Collins,['4lxfqrEsLX6N1N4OCSkILp'],1985-01-25 00:00:00,0.62,0.807,8,-7.753,1,0.0548,0.471,0.108,0.0477,0.579,118.796,4,sadness,['sadness']
8083,1fU9wVDi3yZrawv1Rc4vcS,Elle a les yeux revolver,58,219973,0,Marc Lavoine,['3K8EYZ4Ltg6ythgGZzrFXf'],1985-01-01 00:00:00,0.577,0.273,5,-16.428,1,0.0499,0.496,0.0,0.0914,0.547,79.995,3,"tension, sadness","['tension', 'sadness']"
8084,3khgsGxNwXijlqyStMvpfh,El Ultimo Cartucho,58,201067,0,Los Invasores De Nuevo León,['5CGtBYmVPeLhI1kM2Fn9Gv'],1985-01-01 00:00:00,0.681,0.496,8,-8.373,1,0.0551,0.751,0.0,0.0709,0.921,183.38,3,"tension, sadness","['tension', 'sadness']"
8085,0ogTZlmFqg5xyFCMpRAEb4,Grandpa (Tell Me 'Bout The Good Old Days),58,258333,0,The Judds,['7MSTO40bsb3DOJQT6xLsIc'],1985-10-30 00:00:00,0.56,0.239,4,-16.732,1,0.0347,0.473,1.37e-05,0.0565,0.601,201.672,4,tenderness,['tenderness']
8086,5nNZTUzinBDsnj3U76NJFC,And She Was - 2005 Remaster,58,219413,0,Talking Heads,['2x9SpqnPi8rlE9pjHBwmSC'],1985-07-10 00:00:00,0.697,0.846,9,-5.471,1,0.03,0.0059,0.0256,0.0967,0.973,126.467,4,"power, tension, sadness","['power', 'tension', 'sadness']"
8087,7J5B4k0AT8KIoV5KiUa4o7,You're a Woman,58,321840,0,Bad Boys Blue,['6OXILsPD4WNJ7XiGMAkCWa'],1985-11-15 00:00:00,0.737,0.309,0,-12.437,0,0.0426,0.0297,0.000511,0.313,0.763,118.218,4,tenderness,['tenderness']
8088,362zcsyXMLbL7PNLhOovvm,Computer Love,58,282308,0,Zapp,['396Kh0m4wGUvcMUULw71yi'],1985-01-01 00:00:00,0.679,0.709,7,-5.851,0,0.133,0.676,0.0,0.292,0.673,84.543,4,"joyful activation, tenderness","['joyful activation', 'tenderness']"
8089,0aF9m87P8Tja3NUMv4DfHt,Head Over Heels / Broken,58,302120,0,Tears For Fears,['4bthk9UfsYUYdcFyqxmSUU'],1985-02-25 00:00:00,0.298,0.704,7,-9.905,1,0.0366,0.188,0.000488,0.777,0.655,95.023,4,"nostalgia, tension, sadness","['nostalgia', 'tension', 'sadness']"
8090,3BSoskNONnjn05yRO2tYFX,Don't Come Around Here No More,58,307333,0,Tom Petty and the Heartbreakers,['4tX2TplrkIP4v05BNC903e'],1985-03-26 00:00:00,0.502,0.54,10,-15.93,1,0.0318,0.00105,0.00849,0.243,0.922,160.531,4,tension,['tension']
8091,4ztwMHfPZhPoruZdBbgriM,Three Times A Lady,58,217427,0,Commodores,['6twIAGnYuIT1pncMAsXnEm'],1985,0.39,0.0803,8,-20.518,1,0.0306,0.874,0.000639,0.127,0.184,150.503,3,tenderness,['tenderness']
8092,5xkNd7kCRmjT2DxSAYVVyC,And We Danced,58,227760,0,The Hooters,['7uhvDINTTiD0XBrP9fquN1'],1985,0.561,0.945,9,-6.086,1,0.0444,0.0869,0.0,0.22,0.723,145.781,4,tenderness,['tenderness']
8093,3D3lmTEhuWaunO1yxpYPD8,You're in Love,57,194107,0,Ratt,['3tufWJzpCiAGleBt5TkmTn'],1985,0.567,0.867,7,-11.541,1,0.0484,0.00384,0.088,0.112,0.535,146.008,4,tenderness,['tenderness']
8094,2u9MJ3AMjrKeVGEAntelyM,Money's Too Tight (To Mention) - 2008 Remaster,57,252960,0,Simply Red,['1fa0cOhromAZdq2xRA4vv8'],1985,0.761,0.813,2,-6.018,1,0.0299,0.322,0.00219,0.0588,0.878,113.415,4,"power, tension, sadness","['power', 'tension', 'sadness']"
8095,2vDaSr8NzCzG2rFtqup2Kq,Cuando Sale la Luna,57,185307,0,José Alfredo Jimenez,['2T06whb4s6UiufL1j5Qtz9'],1985-07-25 00:00:00,0.472,0.172,9,-18.132,0,0.0449,0.809,0.0,0.103,0.504,106.875,4,sadness,['sadness']
8096,1weEqgqTn03x8hmJ2mHMET,Stay,57,217427,0,Oingo Boingo,['5LXEAEGrpKQtpyCu2sZuWu'],1985-01-01 00:00:00,0.579,0.541,5,-11.54,1,0.0285,0.386,1.51e-05,0.129,0.659,119.148,4,"tenderness, tension","['tenderness', 'tension']"
8097,6JFfOp1LTXnyDCTfHlOc9j,Josephine,57,237560,0,Chris Rea,['5KEG7G8LDYlHgFDqZyEEs2'],1985-07-18 00:00:00,0.656,0.469,3,-15.941,0,0.0281,0.0223,0.00866,0.0475,0.66,110.037,4,"tenderness, sadness","['tenderness', 'sadness']"
8098,2KzUa9x2TNzHVsx4sVuHsx,Encore et encore - Remastered,57,273680,0,Francis Cabrel,['5uo5NwSONVNfvSHHMQrHAv'],1985,0.7,0.794,8,-8.191,1,0.0484,0.479,0.00028,0.0921,0.858,164.287,4,"nostalgia, tension, sadness","['nostalgia', 'tension', 'sadness']"
8099,3OS4XXm4S42pnESQmtN9MG,Well I Wonder - 2011 Remaster,57,239427,0,The Smiths,['3yY2gUcIsjMr8hjo51PoJ8'],1985-02-11 00:00:00,0.643,0.59,11,-10.843,0,0.0284,0.0806,0.00578,0.174,0.818,126.651,4,"tenderness, tension, sadness","['tenderness', 'tension', 'sadness']"
8100,5uh98HlgvoJd2zRWAduj2Y,Bring on the Dancing Horses,57,235800,0,Echo & the Bunnymen,['0fgYKF9Avljex0L9Wt5b8Z'],1985-11-11 00:00:00,0.568,0.925,2,-5.274,1,0.0402,0.00635,0.00495,0.315,0.752,118.45,4,sadness,['sadness']
8101,0WnVjkW8k8Zo37JAI7K8zF,Secret,57,236333,0,Orchestral Manoeuvres In The Dark,['7wJ9NwdRWtN92NunmXuwBk'],1985-06-17 00:00:00,0.717,0.651,9,-8.597,1,0.0284,0.276,0.00272,0.0488,0.904,114.471,4,"tenderness, sadness","['tenderness', 'sadness']"
8102,4fFxkU9C7prSviiYtvlV8V,Johnny Come Home,57,211507,0,Fine Young Cannibals,['20p5D2KrE8CGuOjHtxsyTp'],1985-01-01 00:00:00,0.775,0.882,10,-6.96,1,0.0458,0.00898,0.000247,0.0628,0.963,133.62,4,sadness,['sadness']
8103,20JrcZW9Djp70GZyFRrAfl,Johnny B.,57,237467,0,The Hooters,['7uhvDINTTiD0XBrP9fquN1'],1985,0.473,0.855,9,-6.221,0,0.0293,0.136,4.5e-05,0.292,0.521,91.744,4,tenderness,['tenderness']
8104,2h47SG8bNphmicAll4H9RV,Dead Man's Party,56,381627,0,Oingo Boingo,['5LXEAEGrpKQtpyCu2sZuWu'],1985-01-01 00:00:00,0.568,0.863,1,-10.984,1,0.0383,0.5,0.000137,0.246,0.923,161.261,4,"tension, sadness","['tension', 'sadness']"
8105,5jmuiCbNU1SEvFKqMadOZR,Mi Viejo,56,190653,0,Vicente Fernández,['4PPoI9LuYeFX8V674Z1R6l'],1985,0.539,0.423,2,-7.646,0,0.0277,0.684,0.0,0.323,0.408,95.834,4,"tension, sadness","['tension', 'sadness']"
8106,0g8Q1Pmem92k7PzI3VLWKz,All at Once,56,268600,0,Whitney Houston,['6XpaIBNiVzIetEPCWDvAFP'],1985-02-14 00:00:00,0.58,0.325,0,-16.16,0,0.0294,0.539,0.0,0.135,0.342,132.548,4,"tenderness, sadness","['tenderness', 'sadness']"
8107,0qXUwQbZHFnhAGCgqwz2lR,Meet Me In Montana,56,236627,0,"Dan Seals, Marie Osmond","['55yEsJBqyn27JPsw5hHzqi', '3ijY78RxOagYo8FOgSEkWj']",1985-01-01 00:00:00,0.661,0.389,10,-12.292,1,0.0301,0.393,1.04e-06,0.0902,0.515,124.147,4,tenderness,['tenderness']
8108,1D2QnxvMOac95EG9C0KbsJ,So In Love,56,209360,0,Orchestral Manoeuvres In The Dark,['7wJ9NwdRWtN92NunmXuwBk'],1985-06-17 00:00:00,0.599,0.805,5,-7.07,1,0.0277,0.0863,0.0013,0.566,0.962,120.049,4,"tenderness, sadness","['tenderness', 'sadness']"
8109,05wIrZSwuaVWhcv5FfqeH0,Walking On Sunshine,79,238733,0,Katrina & The Waves,['2TzHIUhVpeeDxyJPpQfnV3'],1985,0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902,4,tenderness,['tenderness']
8110,1vCBk33l9HaWp5FOnhSGxk,I Feel Love,52,355173,0,Donna Summer,['2eogQKWWoohI3BSnoG7E2U'],1977-05-13 00:00:00,0.674,0.711,0,-15.581,1,0.0423,0.031,0.691,0.0925,0.961,126.696,4,tenderness,['tenderness']
8111,7Iy9xMcBIzHvuQtYrU0MZn,You're My World,52,163800,0,Helen Reddy,['0Sq7oGrYEe0BDmb13wgjOO'],1977,0.407,0.528,6,-7.276,1,0.043,0.17,0.00212,0.0987,0.438,107.74,3,"tenderness, sadness","['tenderness', 'sadness']"
8112,7ELgXEWwuVbUFVeXdZMK5c,Disperato erotico stomp,52,345693,0,Lucio Dalla,['25MkkfEousyfp2eyh38FUl'],1977-02-22 00:00:00,0.709,0.651,0,-13.354,1,0.216,0.0649,0.0,0.264,0.665,79.318,4,sadness,['sadness']
8113,2pkPeaj86ZEVHhgAEncfp0,You're in My Heart (The Final Acclaim),52,270960,0,Rod Stewart,['2y8Jo9CKhJvtfeKOsYzRdT'],1977,0.553,0.328,9,-10.797,1,0.0341,0.643,0.0,0.109,0.345,103.472,4,"tenderness, sadness","['tenderness', 'sadness']"
8114,4i997ro15ce6CDZvSjOXZp,"Get Down, Make Love - Remastered 2011",52,230120,0,Queen,['1dfeR4HaWDbWqFHLkxsg1d'],1977-10-28 00:00:00,0.446,0.713,8,-4.825,1,0.268,0.41,0.0,0.212,0.369,143.229,4,"power, tension","['power', 'tension']"
8115,44XWtXS1N27SIgdlKwE24B,Sheer Heart Attack - Remastered 2011,52,207600,0,Queen,['1dfeR4HaWDbWqFHLkxsg1d'],1977-10-28 00:00:00,0.155,0.938,10,-4.624,1,0.126,0.00543,0.00262,0.359,0.383,184.469,4,"nostalgia, tension, sadness","['nostalgia', 'tension', 'sadness']"
8116,2vLhb34HqnPwNCKx0atimx,I Know A Little,52,207973,0,Lynyrd Skynyrd,['4MVyzYMgTwdP7Z49wAZHx0'],1977-10-17 00:00:00,0.384,0.575,2,-11.808,1,0.0635,0.0818,0.00387,0.161,0.775,196.495,4,tenderness,['tenderness']
8117,6abvu3x6fUlOniPRF8WCII,Pearl's A Singer,52,218480,0,Elkie Brooks,['4Xn6fPXDrarY8LxXWqlE2M'],1977-01-01 00:00:00,0.524,0.242,0,-10.186,1,0.0392,0.564,0.0,0.233,0.39,121.338,4,"nostalgia, sadness","['nostalgia', 'sadness']"
8118,5fVCO1kPh1qE3s8aVqRv9t,"One Man, One Woman",52,275160,0,ABBA,['0LcJLqbBmaGUft1e9Mm8HV'],1977,0.484,0.524,9,-7.931,1,0.0263,0.531,2.24e-05,0.148,0.55,71.828,4,"tenderness, sadness","['tenderness', 'sadness']"
